x,y,err
0.303,8.522656,14.44523
0.309,44.87459,78.24785
0.321,29.63286,23.01279
0.327,58.13258,28.29703
0.333,28.2143,14.79316
0.339,129.0572,35.48893
0.345,181.7821,43.7948
0.351,199.5301,42.20547
0.357,269.4043,49.41916
0.363,186.1139,42.54225
0.369,308.6646,54.93239
0.375,375.7294,61.23735
0.381,409.6221,62.66357
0.387,655.2164,77.94734
0.393,698.6113,84.8708
0.399,947.8381,98.7004
0.405,996.443,99.33723
0.411,1089.034,104.1069
0.417,1373.686,119.1688
0.423,1447.256,117.4087
0.429,1606.424,125.1661
0.435,2000.089,140.0223
0.441,2081.118,137.4054
0.447,2105.171,134.5745
0.453,2501.397,147.5505
0.459,2536.742,146.1301
0.465,2747.393,148.4184
0.471,3217.461,159.6786
0.477,3395.157,161.4242
0.483,3667.438,163.8606
0.489,4003.199,167.457
0.495,4441.951,172.1085
0.501,4833.691,174.7705
0.507,4723.718,167.3542
0.513,4930.629,167.6779
0.519,5409.406,173.4369
0.525,5416.036,172.1824
0.531,5217.45,164.0276
0.537,5867.647,174.4779
0.543,5717.979,169.0323
0.549,5527.38,165.0818
0.555,5548.063,164.632
0.561,5386.82,160.1847
0.567,5425.564,160.5301
0.573,4744.075,149.5817
0.579,3899.626,138.9569
0.585,2725.864,117.8775
